Roll Number,Internal Script Marks (15),Attendance Marks (5)
A24126520W01,14,5
A24126520W02,14,5
A24126520W03,11,5
A24126520W04,14,5
A24126520W05,14,5
A24126520W07,12,5
A24126520W08,14,5
A24126520W09,14,5
A24126520W10,11,5
A24126520W11,14,5
